Municipios;Sexo;Periodo;Total
15029 Coristanco;Total;1998;8.240
15030 Coruña, A;Total;2021;245.468
15030 Coruña, A;Total;2020;247.604
15030 Coruña, A;Total;2019;245.711
15030 Coruña, A;Total;2018;244.850
15030 Coruña, A;Total;2017;244.099
15030 Coruña, A;Total;2016;243.978
15030 Coruña, A;Total;2015;243.870
15030 Coruña, A;Total;2014;244.810
15030 Coruña, A;Total;2013;245.923
15030 Coruña, A;Total;2012;246.146
15030 Coruña, A;Total;2011;246.028
15030 Coruña, A;Total;2010;246.047
15030 Coruña, A;Total;2009;246.056
15030 Coruña, A;Total;2008;245.164
15030 Coruña, A;Total;2007;244.388
15030 Coruña, A;Total;2006;243.320
15030 Coruña, A;Total;2005;243.349
15030 Coruña, A;Total;2004;242.846
15030 Coruña, A;Total;2003;243.902
15030 Coruña, A;Total;2002;242.458
15030 Coruña, A;Total;2001;239.434
15030 Coruña, A;Total;2000;241.769
15030 Coruña, A;Total;1999;243.402
15030 Coruña, A;Total;1998;243.134
15031 Culleredo;Total;2021;30.758
15031 Culleredo;Total;2020;30.685
15031 Culleredo;Total;2019;30.402
15031 Culleredo;Total;2018;30.221
15031 Culleredo;Total;2017;29.982
15031 Culleredo;Total;2016;29.638
15031 Culleredo;Total;2015;29.593
15031 Culleredo;Total;2014;29.434
15031 Culleredo;Total;2013;29.415
15031 Culleredo;Total;2012;29.416
15031 Culleredo;Total;2011;29.207
15031 Culleredo;Total;2010;28.737
15031 Culleredo;Total;2009;28.227
15031 Culleredo;Total;2008;27.670
15031 Culleredo;Total;2007;26.707
15031 Culleredo;Total;2006;26.547
15031 Culleredo;Total;2005;25.650
15031 Culleredo;Total;2004;24.640
15031 Culleredo;Total;2003;23.851
15031 Culleredo;Total;2002;22.745
15031 Culleredo;Total;2001;22.076
15031 Culleredo;Total;2000;20.890
15031 Culleredo;Total;1999;19.867
15031 Culleredo;Total;1998;18.743
15032 Curtis;Total;2021;4.081
15032 Curtis;Total;2020;4.053
15032 Curtis;Total;2019;3.983
15032 Curtis;Total;2018;3.958
15032 Curtis;Total;2017;3.968
15032 Curtis;Total;2016;3.980
15032 Curtis;Total;2015;4.015
15032 Curtis;Total;2014;4.048
15032 Curtis;Total;2013;4.112
15032 Curtis;Total;2012;4.159
15032 Curtis;Total;2011;4.214
15032 Curtis;Total;2010;4.228
15032 Curtis;Total;2009;4.246
15032 Curtis;Total;2008;4.245
15032 Curtis;Total;2007;4.244
15032 Curtis;Total;2006;4.287
15032 Curtis;Total;2005;4.369
15032 Curtis;Total;2004;4.421
15032 Curtis;Total;2003;4.438
15032 Curtis;Total;2002;4.451
15032 Curtis;Total;2001;4.432
15032 Curtis;Total;2000;4.468
15032 Curtis;Total;1999;4.444
15032 Curtis;Total;1998;4.523
15033 Dodro;Total;2021;2.710
15033 Dodro;Total;2020;2.750
15033 Dodro;Total;2019;2.768
15033 Dodro;Total;2018;2.791
15033 Dodro;Total;2017;2.832
15033 Dodro;Total;2016;2.853
15033 Dodro;Total;2015;2.882
15033 Dodro;Total;2014;2.913
15033 Dodro;Total;2013;2.934
15033 Dodro;Total;2012;2.977
15033 Dodro;Total;2011;2.980
15033 Dodro;Total;2010;3.017
15033 Dodro;Total;2009;3.029
15033 Dodro;Total;2008;3.024
15033 Dodro;Total;2007;3.053
15033 Dodro;Total;2006;3.087
15033 Dodro;Total;2005;3.122
15033 Dodro;Total;2004;3.162
15033 Dodro;Total;2003;3.209
15033 Dodro;Total;2002;3.213
15033 Dodro;Total;2001;3.243
15033 Dodro;Total;2000;3.280
15033 Dodro;Total;1999;3.296
15033 Dodro;Total;1998;3.313
15034 Dumbría;Total;2021;2.927
15034 Dumbría;Total;2020;2.935
15034 Dumbría;Total;2019;2.983
15034 Dumbría;Total;2018;3.040
15034 Dumbría;Total;2017;3.053
15034 Dumbría;Total;2016;3.085
15034 Dumbría;Total;2015;3.077
15034 Dumbría;Total;2014;3.137
15034 Dumbría;Total;2013;3.216
15034 Dumbría;Total;2012;3.291
15034 Dumbría;Total;2011;3.652
15034 Dumbría;Total;2010;3.705
15034 Dumbría;Total;2009;3.751
15034 Dumbría;Total;2008;3.820
15034 Dumbría;Total;2007;3.890
15034 Dumbría;Total;2006;3.970
15034 Dumbría;Total;2005;4.067
15034 Dumbría;Total;2004;4.166
15034 Dumbría;Total;2003;4.307
15034 Dumbría;Total;2002;4.428
15034 Dumbría;Total;2001;4.488
15034 Dumbría;Total;2000;4.529
15034 Dumbría;Total;1999;4.611
15034 Dumbría;Total;1998;4.755
15035 Fene;Total;2021;12.832
15035 Fene;Total;2020;12.868
15035 Fene;Total;2019;12.944
15035 Fene;Total;2018;13.013
15035 Fene;Total;2017;13.110
15035 Fene;Total;2016;13.250
15035 Fene;Total;2015;13.385
15035 Fene;Total;2014;13.498
15035 Fene;Total;2013;13.639
15035 Fene;Total;2012;13.780
15035 Fene;Total;2011;13.902
15035 Fene;Total;2010;14.092
15035 Fene;Total;2009;14.165
15035 Fene;Total;2008;14.169
15035 Fene;Total;2007;14.222
15035 Fene;Total;2006;14.346
15035 Fene;Total;2005;14.355
15035 Fene;Total;2004;14.485
15035 Fene;Total;2003;14.530
15035 Fene;Total;2002;14.638
15035 Fene;Total;2001;14.690
15035 Fene;Total;2000;14.848
15035 Fene;Total;1999;14.875
15035 Fene;Total;1998;14.912
15036 Ferrol;Total;2021;64.785
15036 Ferrol;Total;2020;65.560
15036 Ferrol;Total;2019;66.065
15036 Ferrol;Total;2018;66.799
15036 Ferrol;Total;2017;67.569
15036 Ferrol;Total;2016;68.308
15036 Ferrol;Total;2015;69.452
15036 Ferrol;Total;2014;70.389
15036 Ferrol;Total;2013;71.232
15036 Ferrol;Total;2012;71.997
15036 Ferrol;Total;2011;72.963
15036 Ferrol;Total;2010;73.638
15036 Ferrol;Total;2009;74.273
15036 Ferrol;Total;2008;74.696
15036 Ferrol;Total;2007;75.181
15036 Ferrol;Total;2006;76.399
15036 Ferrol;Total;2005;77.155
15036 Ferrol;Total;2004;77.859
15036 Ferrol;Total;2003;78.764
15036 Ferrol;Total;2002;79.520
15036 Ferrol;Total;2001;80.347
15036 Ferrol;Total;2000;81.255
15036 Ferrol;Total;1999;81.991
15036 Ferrol;Total;1998;82.548
15037 Fisterra;Total;2021;4.714
15037 Fisterra;Total;2020;4.697
15037 Fisterra;Total;2019;4.708
15037 Fisterra;Total;2018;4.701
15037 Fisterra;Total;2017;4.734
15037 Fisterra;Total;2016;4.737
15037 Fisterra;Total;2015;4.775
15037 Fisterra;Total;2014;4.824
15037 Fisterra;Total;2013;4.907
15037 Fisterra;Total;2012;4.990
15037 Fisterra;Total;2011;4.983
15037 Fisterra;Total;2010;4.995
15037 Fisterra;Total;2009;5.005
15037 Fisterra;Total;2008;4.959
15037 Fisterra;Total;2007;4.971
15037 Fisterra;Total;2006;5.009
15037 Fisterra;Total;2005;5.042
15037 Fisterra;Total;2004;5.093
15037 Fisterra;Total;2003;5.141
15037 Fisterra;Total;2002;5.132
15037 Fisterra;Total;2001;5.175
15037 Fisterra;Total;2000;5.224
15037 Fisterra;Total;1999;5.295
15037 Fisterra;Total;1998;5.295
15038 Frades;Total;2021;2.306
15038 Frades;Total;2020;2.302
15038 Frades;Total;2019;2.339
15038 Frades;Total;2018;2.385
15038 Frades;Total;2017;2.422
15038 Frades;Total;2016;2.428
15038 Frades;Total;2015;2.460
15038 Frades;Total;2014;2.485
15038 Frades;Total;2013;2.509
15038 Frades;Total;2012;2.566
15038 Frades;Total;2011;2.607
15038 Frades;Total;2010;2.648
15038 Frades;Total;2009;2.706
15038 Frades;Total;2008;2.732
15038 Frades;Total;2007;2.817
15038 Frades;Total;2006;2.841
15038 Frades;Total;2005;2.871
15038 Frades;Total;2004;2.920
15038 Frades;Total;2003;2.975
15038 Frades;Total;2002;3.019
15038 Frades;Total;2001;3.055
15038 Frades;Total;2000;3.083
15038 Frades;Total;1999;3.096
15038 Frades;Total;1998;3.150
15039 Irixoa;Total;2021;1.340
15039 Irixoa;Total;2020;1.340
15039 Irixoa;Total;2019;1.334
15039 Irixoa;Total;2018;1.333
15039 Irixoa;Total;2017;1.361
15039 Irixoa;Total;2016;1.369
15039 Irixoa;Total;2015;1.389
15039 Irixoa;Total;2014;1.421
15039 Irixoa;Total;2013;1.442
15039 Irixoa;Total;2012;1.492
15039 Irixoa;Total;2011;1.502
15039 Irixoa;Total;2010;1.501
15039 Irixoa;Total;2009;1.526
15039 Irixoa;Total;2008;1.550
15039 Irixoa;Total;2007;1.562
15039 Irixoa;Total;2006;1.552
15039 Irixoa;Total;2005;1.579
15039 Irixoa;Total;2004;1.619
15039 Irixoa;Total;2003;1.632
15039 Irixoa;Total;2002;1.673
15039 Irixoa;Total;2001;1.722
15039 Irixoa;Total;2000;1.719
15039 Irixoa;Total;1999;1.758
15039 Irixoa;Total;1998;1.768
15041 Laracha, A;Total;2021;11.521
15041 Laracha, A;Total;2020;11.406
15041 Laracha, A;Total;2019;11.347
15041 Laracha, A;Total;2018;11.302
15041 Laracha, A;Total;2017;11.281
15041 Laracha, A;Total;2016;11.295
15041 Laracha, A;Total;2015;11.402
15041 Laracha, A;Total;2014;11.443
15041 Laracha, A;Total;2013;11.375
15041 Laracha, A;Total;2012;11.367
15041 Laracha, A;Total;2011;11.337
15041 Laracha, A;Total;2010;11.213
15041 Laracha, A;Total;2009;11.171
15041 Laracha, A;Total;2008;11.079
15041 Laracha, A;Total;2007;10.871
15041 Laracha, A;Total;2006;10.803
15041 Laracha, A;Total;2005;10.806
15041 Laracha, A;Total;2004;10.800
15041 Laracha, A;Total;2003;10.782
15041 Laracha, A;Total;2002;10.683
15041 Laracha, A;Total;2001;10.666
15041 Laracha, A;Total;2000;10.701
15041 Laracha, A;Total;1999;10.669
15041 Laracha, A;Total;1998;10.706
15040 Laxe;Total;2021;3.004
15040 Laxe;Total;2020;2.990
15040 Laxe;Total;2019;3.016
15040 Laxe;Total;2018;3.084
15040 Laxe;Total;2017;3.090
15040 Laxe;Total;2016;3.148
15040 Laxe;Total;2015;3.185
15040 Laxe;Total;2014;3.207
15040 Laxe;Total;2013;3.267
15040 Laxe;Total;2012;3.313
15040 Laxe;Total;2011;3.366
15040 Laxe;Total;2010;3.417
15040 Laxe;Total;2009;3.413
15040 Laxe;Total;2008;3.434
15040 Laxe;Total;2007;3.453
15040 Laxe;Total;2006;3.489
15040 Laxe;Total;2005;3.539
15040 Laxe;Total;2004;3.558
15040 Laxe;Total;2003;3.544
15040 Laxe;Total;2002;3.557
15040 Laxe;Total;2001;3.575
15040 Laxe;Total;2000;3.551
15040 Laxe;Total;1999;3.541
15040 Laxe;Total;1998;3.541
15042 Lousame;Total;2021;3.235
15042 Lousame;Total;2020;3.268
15042 Lousame;Total;2019;3.338
15042 Lousame;Total;2018;3.386
15042 Lousame;Total;2017;3.447
15042 Lousame;Total;2016;3.429
15042 Lousame;Total;2015;3.463
15042 Lousame;Total;2014;3.513
15042 Lousame;Total;2013;3.493
15042 Lousame;Total;2012;3.621
15042 Lousame;Total;2011;3.657
15042 Lousame;Total;2010;3.699
15042 Lousame;Total;2009;3.687
15042 Lousame;Total;2008;3.702
15042 Lousame;Total;2007;3.756
15042 Lousame;Total;2006;3.798
15042 Lousame;Total;2005;3.854
15042 Lousame;Total;2004;3.912
15042 Lousame;Total;2003;3.957
15042 Lousame;Total;2002;4.035
15042 Lousame;Total;2001;4.117
15042 Lousame;Total;2000;4.199
15042 Lousame;Total;1999;4.219
15042 Lousame;Total;1998;4.329
15043 Malpica de Bergantiños;Total;2021;5.332
15043 Malpica de Bergantiños;Total;2020;5.352
15043 Malpica de Bergantiños;Total;2019;5.391
15043 Malpica de Bergantiños;Total;2018;5.447
15043 Malpica de Bergantiños;Total;2017;5.518
15043 Malpica de Bergantiños;Total;2016;5.616
15043 Malpica de Bergantiños;Total;2015;5.666
15043 Malpica de Bergantiños;Total;2014;5.768
15043 Malpica de Bergantiños;Total;2013;5.875
15043 Malpica de Bergantiños;Total;2012;5.998
15043 Malpica de Bergantiños;Total;2011;6.102
15043 Malpica de Bergantiños;Total;2010;6.178
15043 Malpica de Bergantiños;Total;2009;6.228
15043 Malpica de Bergantiños;Total;2008;6.320
15043 Malpica de Bergantiños;Total;2007;6.432
15043 Malpica de Bergantiños;Total;2006;6.567
15043 Malpica de Bergantiños;Total;2005;6.786
15043 Malpica de Bergantiños;Total;2004;6.890
15043 Malpica de Bergantiños;Total;2003;6.944
15043 Malpica de Bergantiños;Total;2002;7.070
15043 Malpica de Bergantiños;Total;2001;7.172
15043 Malpica de Bergantiños;Total;2000;7.262
15043 Malpica de Bergantiños;Total;1999;7.325
15043 Malpica de Bergantiños;Total;1998;7.377
15044 Mañón;Total;2021;1.309
15044 Mañón;Total;2020;1.319
15044 Mañón;Total;2019;1.356
15044 Mañón;Total;2018;1.363
15044 Mañón;Total;2017;1.391
15044 Mañón;Total;2016;1.420
15044 Mañón;Total;2015;1.454
15044 Mañón;Total;2014;1.455
15044 Mañón;Total;2013;1.507
15044 Mañón;Total;2012;1.537
15044 Mañón;Total;2011;1.589
15044 Mañón;Total;2010;1.602
15044 Mañón;Total;2009;1.622
15044 Mañón;Total;2008;1.628
15044 Mañón;Total;2007;1.693
15044 Mañón;Total;2006;1.765
15044 Mañón;Total;2005;1.803
15044 Mañón;Total;2004;1.830
15044 Mañón;Total;2003;1.848
15044 Mañón;Total;2002;1.898
15044 Mañón;Total;2001;1.921
15044 Mañón;Total;2000;1.932
15044 Mañón;Total;1999;1.987
15044 Mañón;Total;1998;2.034
15045 Mazaricos;Total;2021;3.806
15045 Mazaricos;Total;2020;3.841
15045 Mazaricos;Total;2019;3.885
15045 Mazaricos;Total;2018;3.947
15045 Mazaricos;Total;2017;4.014
15045 Mazaricos;Total;2016;4.087
15045 Mazaricos;Total;2015;4.173
15045 Mazaricos;Total;2014;4.289
15045 Mazaricos;Total;2013;4.141
15045 Mazaricos;Total;2012;4.533
15045 Mazaricos;Total;2011;4.720
15045 Mazaricos;Total;2010;4.854
15045 Mazaricos;Total;2009;4.939
15045 Mazaricos;Total;2008;5.050
15045 Mazaricos;Total;2007;5.179
15045 Mazaricos;Total;2006;5.329
15045 Mazaricos;Total;2005;5.488
15045 Mazaricos;Total;2004;5.639
15045 Mazaricos;Total;2003;5.787
15045 Mazaricos;Total;2002;5.948
15045 Mazaricos;Total;2001;6.072
15045 Mazaricos;Total;2000;6.185
15045 Mazaricos;Total;1999;6.349
15045 Mazaricos;Total;1998;6.648
15046 Melide;Total;2021;7.427
15046 Melide;Total;2020;7.419
15046 Melide;Total;2019;7.406
15046 Melide;Total;2018;7.443
15046 Melide;Total;2017;7.503
15046 Melide;Total;2016;7.488
15046 Melide;Total;2015;7.538
15046 Melide;Total;2014;7.578
15046 Melide;Total;2013;7.313
15046 Melide;Total;2012;7.502
15046 Melide;Total;2011;7.824
15046 Melide;Total;2010;7.838
15046 Melide;Total;2009;7.874
15046 Melide;Total;2008;7.901
15046 Melide;Total;2007;7.916
15046 Melide;Total;2006;7.931
15046 Melide;Total;2005;7.866
15046 Melide;Total;2004;7.809
15046 Melide;Total;2003;8.345
15046 Melide;Total;2002;8.383
15046 Melide;Total;2001;8.462
15046 Melide;Total;2000;8.441
15046 Melide;Total;1999;8.430
15046 Melide;Total;1998;8.439
15047 Mesía;Total;2021;2.479
15047 Mesía;Total;2020;2.497
15047 Mesía;Total;2019;2.530
15047 Mesía;Total;2018;2.582
15047 Mesía;Total;2017;2.637
15047 Mesía;Total;2016;2.700
15047 Mesía;Total;2015;2.734
15047 Mesía;Total;2014;2.795
15047 Mesía;Total;2013;2.849
15047 Mesía;Total;2012;2.879
15047 Mesía;Total;2011;2.922
15047 Mesía;Total;2010;2.918
15047 Mesía;Total;2009;2.975
15047 Mesía;Total;2008;3.033
15047 Mesía;Total;2007;3.080
15047 Mesía;Total;2006;3.102
15047 Mesía;Total;2005;3.174
15047 Mesía;Total;2004;3.216
15047 Mesía;Total;2003;3.240
15047 Mesía;Total;2002;3.304
15047 Mesía;Total;2001;3.356
15047 Mesía;Total;2000;3.409
15047 Mesía;Total;1999;3.483
15047 Mesía;Total;1998;3.489
15048 Miño;Total;2021;6.423
15048 Miño;Total;2020;6.277
15048 Miño;Total;2019;6.200
15048 Miño;Total;2018;6.056
15048 Miño;Total;2017;5.905
15048 Miño;Total;2016;5.832
15048 Miño;Total;2015;5.859
15048 Miño;Total;2014;5.838
15048 Miño;Total;2013;5.786
15048 Miño;Total;2012;5.739
15048 Miño;Total;2011;5.760
15048 Miño;Total;2010;5.628
15048 Miño;Total;2009;5.488
15048 Miño;Total;2008;5.326
15048 Miño;Total;2007;5.256
15048 Miño;Total;2006;5.162
15048 Miño;Total;2005;5.127
15048 Miño;Total;2004;5.089
15048 Miño;Total;2003;5.096
15048 Miño;Total;2002;5.044
15048 Miño;Total;2001;4.986
15048 Miño;Total;2000;4.870
15048 Miño;Total;1999;4.888
15048 Miño;Total;1998;4.870
15049 Moeche;Total;2021;1.200
15049 Moeche;Total;2020;1.186
15049 Moeche;Total;2019;1.226
15049 Moeche;Total;2018;1.226
15049 Moeche;Total;2017;1.230
15049 Moeche;Total;2016;1.220
15049 Moeche;Total;2015;1.246
15049 Moeche;Total;2014;1.303
15049 Moeche;Total;2013;1.335
15049 Moeche;Total;2012;1.358
15049 Moeche;Total;2011;1.363
15049 Moeche;Total;2010;1.401
15049 Moeche;Total;2009;1.416
15049 Moeche;Total;2008;1.435
15049 Moeche;Total;2007;1.441
15049 Moeche;Total;2006;1.437
15049 Moeche;Total;2005;1.469
15049 Moeche;Total;2004;1.461
15049 Moeche;Total;2003;1.478
15049 Moeche;Total;2002;1.490
15049 Moeche;Total;2001;1.536
15049 Moeche;Total;2000;1.561
15049 Moeche;Total;1999;1.569
15049 Moeche;Total;1998;1.583
15050 Monfero;Total;2021;1.908
15050 Monfero;Total;2020;1.907
15050 Monfero;Total;2019;1.932
15050 Monfero;Total;2018;1.962
15050 Monfero;Total;2017;1.985
15050 Monfero;Total;2016;2.019
15050 Monfero;Total;2015;2.037
15050 Monfero;Total;2014;2.089
15050 Monfero;Total;2013;2.109
15050 Monfero;Total;2012;2.129
15050 Monfero;Total;2011;2.178
15050 Monfero;Total;2010;2.239
15050 Monfero;Total;2009;2.299
15050 Monfero;Total;2008;2.353
15050 Monfero;Total;2007;2.400
15050 Monfero;Total;2006;2.414
15050 Monfero;Total;2005;2.444
15050 Monfero;Total;2004;2.490
15050 Monfero;Total;2003;2.552
15050 Monfero;Total;2002;2.595
15050 Monfero;Total;2001;2.639
15050 Monfero;Total;2000;2.695
15050 Monfero;Total;1999;2.758
15050 Monfero;Total;1998;2.758
15051 Mugardos;Total;2021;5.226
15051 Mugardos;Total;2020;5.215
15051 Mugardos;Total;2019;5.245
15051 Mugardos;Total;2018;5.307
15051 Mugardos;Total;2017;5.303
15051 Mugardos;Total;2016;5.335
15051 Mugardos;Total;2015;5.362
15051 Mugardos;Total;2014;5.417
15051 Mugardos;Total;2013;5.470
15051 Mugardos;Total;2012;5.456
15051 Mugardos;Total;2011;5.481
15051 Mugardos;Total;2010;5.536
15051 Mugardos;Total;2009;5.565
15051 Mugardos;Total;2008;5.605
15051 Mugardos;Total;2007;5.636
15051 Mugardos;Total;2006;5.638
15051 Mugardos;Total;2005;5.628
15051 Mugardos;Total;2004;5.612
15051 Mugardos;Total;2003;5.737
15051 Mugardos;Total;2002;5.859
15051 Mugardos;Total;2001;5.921
15051 Mugardos;Total;2000;5.984
15051 Mugardos;Total;1999;6.056
15051 Mugardos;Total;1998;6.110
15053 Muros;Total;2021;8.399
15053 Muros;Total;2020;8.427
15053 Muros;Total;2019;8.556
15053 Muros;Total;2018;8.695
15053 Muros;Total;2017;8.792
15053 Muros;Total;2016;8.834
15053 Muros;Total;2015;8.960
15053 Muros;Total;2014;9.117
15053 Muros;Total;2013;9.281
15053 Muros;Total;2012;9.437
15053 Muros;Total;2011;9.565
15053 Muros;Total;2010;9.704
15053 Muros;Total;2009;9.787
15053 Muros;Total;2008;9.823
15053 Muros;Total;2007;9.931
15053 Muros;Total;2006;9.999
15053 Muros;Total;2005;9.995
15053 Muros;Total;2004;10.050
15053 Muros;Total;2003;10.095
15053 Muros;Total;2002;10.272
15053 Muros;Total;2001;10.378
15053 Muros;Total;2000;10.519
15053 Muros;Total;1999;10.670
15053 Muros;Total;1998;10.855
15052 Muxía;Total;2021;4.564
15052 Muxía;Total;2020;4.596
15052 Muxía;Total;2019;4.657
15052 Muxía;Total;2018;4.736
15052 Muxía;Total;2017;4.852
15052 Muxía;Total;2016;4.941
15052 Muxía;Total;2015;5.025
15052 Muxía;Total;2014;5.068
15052 Muxía;Total;2013;5.162
15052 Muxía;Total;2012;5.269
15052 Muxía;Total;2011;5.377
15052 Muxía;Total;2010;5.423
15052 Muxía;Total;2009;5.510
15052 Muxía;Total;2008;5.579
15052 Muxía;Total;2007;5.663
15052 Muxía;Total;2006;5.746
15052 Muxía;Total;2005;5.823
15052 Muxía;Total;2004;5.899
15052 Muxía;Total;2003;6.029
15052 Muxía;Total;2002;6.103
15052 Muxía;Total;2001;6.191
15052 Muxía;Total;2000;6.213
15052 Muxía;Total;1999;6.422
15052 Muxía;Total;1998;6.422
15054 Narón;Total;2021;38.913
15054 Narón;Total;2020;39.056
15054 Narón;Total;2019;39.080
15054 Narón;Total;2018;39.115
15054 Narón;Total;2017;39.280
15054 Narón;Total;2016;39.426
15054 Narón;Total;2015;39.565
15054 Narón;Total;2014;39.574
15054 Narón;Total;2013;39.450
15054 Narón;Total;2012;39.238
15054 Narón;Total;2011;38.910
15054 Narón;Total;2010;38.285
15054 Narón;Total;2009;37.712
15054 Narón;Total;2008;37.008
15054 Narón;Total;2007;36.245
15054 Narón;Total;2006;35.664
15054 Narón;Total;2005;35.083
15054 Narón;Total;2004;34.404
15054 Narón;Total;2003;33.825
15054 Narón;Total;2002;29.263
15054 Narón;Total;2001;29.466
15054 Narón;Total;2000;30.328
15054 Narón;Total;1999;31.108
15054 Narón;Total;1998;31.086
15055 Neda;Total;2021;5.032
15055 Neda;Total;2020;5.023
15055 Neda;Total;2019;5.079
15055 Neda;Total;2018;5.112
15055 Neda;Total;2017;5.165
15055 Neda;Total;2016;5.197
15055 Neda;Total;2015;5.261
15055 Neda;Total;2014;5.327
15055 Neda;Total;2013;5.413
15055 Neda;Total;2012;5.422
15055 Neda;Total;2011;5.442
15055 Neda;Total;2010;5.489
15055 Neda;Total;2009;5.528
15055 Neda;Total;2008;5.553
15055 Neda;Total;2007;5.649
15055 Neda;Total;2006;5.675
15055 Neda;Total;2005;5.771
15055 Neda;Total;2004;5.804
15055 Neda;Total;2003;5.913
15055 Neda;Total;2002;6.074
15055 Neda;Total;2001;6.155
15055 Neda;Total;2000;6.166
15055 Neda;Total;1999;6.192
15055 Neda;Total;1998;6.214
15056 Negreira;Total;2021;6.775
15056 Negreira;Total;2020;6.788
15056 Negreira;Total;2019;6.827
15056 Negreira;Total;2018;6.877
15056 Negreira;Total;2017;6.883
15056 Negreira;Total;2016;6.911
15056 Negreira;Total;2015;6.936
15056 Negreira;Total;2014;7.009
15056 Negreira;Total;2013;7.091
15056 Negreira;Total;2012;7.079
15056 Negreira;Total;2011;7.077
15056 Negreira;Total;2010;7.029
15056 Negreira;Total;2009;6.941
15056 Negreira;Total;2008;6.573
15056 Negreira;Total;2007;6.453
15056 Negreira;Total;2006;6.481
15056 Negreira;Total;2005;6.519
15056 Negreira;Total;2004;6.497
15056 Negreira;Total;2003;6.529
15056 Negreira;Total;2002;6.573
15056 Negreira;Total;2001;6.570
15056 Negreira;Total;2000;6.588
15056 Negreira;Total;1999;6.594
15056 Negreira;Total;1998;6.595
15057 Noia;Total;2021;14.240
15057 Noia;Total;2020;14.274
15057 Noia;Total;2019;14.263
15057 Noia;Total;2018;14.271
15057 Noia;Total;2017;14.295
15057 Noia;Total;2016;14.337
15057 Noia;Total;2015;14.472
15057 Noia;Total;2014;14.571
15057 Noia;Total;2013;14.659
15057 Noia;Total;2012;14.757
15057 Noia;Total;2011;14.876
15057 Noia;Total;2010;14.947
15057 Noia;Total;2009;14.970
15057 Noia;Total;2008;14.875
15057 Noia;Total;2007;14.808
15057 Noia;Total;2006;14.702
15057 Noia;Total;2005;14.637
15057 Noia;Total;2004;14.481
15057 Noia;Total;2003;14.586
15057 Noia;Total;2002;14.391
15057 Noia;Total;2001;14.410
15057 Noia;Total;2000;14.404
15057 Noia;Total;1999;14.420
15057 Noia;Total;1998;14.473
15058 Oleiros;Total;2021;36.922
15058 Oleiros;Total;2020;36.534
15058 Oleiros;Total;2019;36.075
15058 Oleiros;Total;2018;35.559
15058 Oleiros;Total;2017;35.198
15058 Oleiros;Total;2016;35.013
15058 Oleiros;Total;2015;34.693
15058 Oleiros;Total;2014;34.563
15058 Oleiros;Total;2013;34.470
15058 Oleiros;Total;2012;34.386
15058 Oleiros;Total;2011;34.133
15058 Oleiros;Total;2010;33.550
15058 Oleiros;Total;2009;33.443
15058 Oleiros;Total;2008;32.381
15058 Oleiros;Total;2007;31.694
15058 Oleiros;Total;2006;31.264
15058 Oleiros;Total;2005;30.467
15058 Oleiros;Total;2004;29.671
15058 Oleiros;Total;2003;28.643
15058 Oleiros;Total;2002;27.453
15058 Oleiros;Total;2001;26.886
15058 Oleiros;Total;2000;26.016
15058 Oleiros;Total;1999;25.166
15058 Oleiros;Total;1998;24.102
15059 Ordes;Total;2021;12.605
15059 Ordes;Total;2020;12.625
15059 Ordes;Total;2019;12.674
15059 Ordes;Total;2018;12.632
15059 Ordes;Total;2017;12.580
15059 Ordes;Total;2016;12.669
15059 Ordes;Total;2015;12.776
15059 Ordes;Total;2014;12.844
15059 Ordes;Total;2013;12.939
15059 Ordes;Total;2012;12.963
15059 Ordes;Total;2011;12.948
15059 Ordes;Total;2010;12.868
15059 Ordes;Total;2009;12.757
15059 Ordes;Total;2008;12.534
15059 Ordes;Total;2007;12.359
15059 Ordes;Total;2006;12.294
15059 Ordes;Total;2005;12.272
15059 Ordes;Total;2004;12.287
15059 Ordes;Total;2003;12.266
15059 Ordes;Total;2002;12.015
15059 Ordes;Total;2001;11.938
15059 Ordes;Total;2000;11.942
15059 Ordes;Total;1999;11.946
15059 Ordes;Total;1998;11.861
15060 Oroso;Total;2021;7.530
15060 Oroso;Total;2020;7.533
15060 Oroso;Total;2019;7.500
15060 Oroso;Total;2018;7.452
15060 Oroso;Total;2017;7.452
15060 Oroso;Total;2016;7.420
15060 Oroso;Total;2015;7.413
15060 Oroso;Total;2014;7.400
15060 Oroso;Total;2013;7.431
15060 Oroso;Total;2012;7.328
15060 Oroso;Total;2011;7.174
15060 Oroso;Total;2010;7.050
15060 Oroso;Total;2009;6.987
15060 Oroso;Total;2008;6.804
15060 Oroso;Total;2007;6.554
15060 Oroso;Total;2006;6.526
15060 Oroso;Total;2005;6.345
15060 Oroso;Total;2004;6.155
15060 Oroso;Total;2003;5.933
15060 Oroso;Total;2002;5.648
15060 Oroso;Total;2001;5.512
15060 Oroso;Total;2000;5.236
15060 Oroso;Total;1999;4.904
15060 Oroso;Total;1998;4.732
15061 Ortigueira;Total;2021;5.485
15061 Ortigueira;Total;2020;5.633
15061 Ortigueira;Total;2019;5.671
15061 Ortigueira;Total;2018;5.804
15061 Ortigueira;Total;2017;5.966
15061 Ortigueira;Total;2016;6.093
15061 Ortigueira;Total;2015;6.136
15061 Ortigueira;Total;2014;5.997
15061 Ortigueira;Total;2013;6.064
15061 Ortigueira;Total;2012;6.550
15061 Ortigueira;Total;2011;6.956
15061 Ortigueira;Total;2010;6.871
15061 Ortigueira;Total;2009;7.150
15061 Ortigueira;Total;2008;7.311
