Municipios;Sexo;Periodo;Total
15007 Baña, A;Total;2018;3.505
15007 Baña, A;Total;2017;3.541
15007 Baña, A;Total;2016;3.645
15007 Baña, A;Total;2015;3.698
15007 Baña, A;Total;2014;3.754
15007 Baña, A;Total;2013;3.849
15007 Baña, A;Total;2012;3.967
15007 Baña, A;Total;2011;4.102
15007 Baña, A;Total;2010;4.320
15007 Baña, A;Total;2009;4.415
15007 Baña, A;Total;2008;4.528
15007 Baña, A;Total;2007;4.673
15007 Baña, A;Total;2006;4.652
15007 Baña, A;Total;2005;4.802
15007 Baña, A;Total;2004;4.888
15007 Baña, A;Total;2003;5.036
15007 Baña, A;Total;2002;5.141
15007 Baña, A;Total;2001;5.230
15007 Baña, A;Total;2000;5.324
15007 Baña, A;Total;1999;5.429
15007 Baña, A;Total;1998;5.578
15008 Bergondo;Total;2021;6.817
15008 Bergondo;Total;2020;6.661
15008 Bergondo;Total;2019;6.633
15008 Bergondo;Total;2018;6.602
15008 Bergondo;Total;2017;6.623
15008 Bergondo;Total;2016;6.656
15008 Bergondo;Total;2015;6.700
15008 Bergondo;Total;2014;6.702
15008 Bergondo;Total;2013;6.738
15008 Bergondo;Total;2012;6.712
15008 Bergondo;Total;2011;6.722
15008 Bergondo;Total;2010;6.758
15008 Bergondo;Total;2009;6.696
15008 Bergondo;Total;2008;6.683
15008 Bergondo;Total;2007;6.540
15008 Bergondo;Total;2006;6.539
15008 Bergondo;Total;2005;6.495
15008 Bergondo;Total;2004;6.413
15008 Bergondo;Total;2003;6.391
15008 Bergondo;Total;2002;6.264
15008 Bergondo;Total;2001;6.179
15008 Bergondo;Total;2000;6.119
15008 Bergondo;Total;1999;5.941
15008 Bergondo;Total;1998;5.817
15009 Betanzos;Total;2021;13.030
15009 Betanzos;Total;2020;13.053
15009 Betanzos;Total;2019;12.959
15009 Betanzos;Total;2018;12.916
15009 Betanzos;Total;2017;12.941
15009 Betanzos;Total;2016;12.966
15009 Betanzos;Total;2015;13.202
15009 Betanzos;Total;2014;13.352
15009 Betanzos;Total;2013;13.445
15009 Betanzos;Total;2012;13.565
15009 Betanzos;Total;2011;13.537
15009 Betanzos;Total;2010;13.673
15009 Betanzos;Total;2009;13.680
15009 Betanzos;Total;2008;13.522
15009 Betanzos;Total;2007;13.328
15009 Betanzos;Total;2006;13.165
15009 Betanzos;Total;2005;13.059
15009 Betanzos;Total;2004;12.990
15009 Betanzos;Total;2003;12.822
15009 Betanzos;Total;2002;12.575
15009 Betanzos;Total;2001;12.423
15009 Betanzos;Total;2000;12.361
15009 Betanzos;Total;1999;12.315
15009 Betanzos;Total;1998;12.296
15010 Boimorto;Total;2021;1.943
15010 Boimorto;Total;2020;1.959
15010 Boimorto;Total;2019;1.985
15010 Boimorto;Total;2018;2.022
15010 Boimorto;Total;2017;2.040
15010 Boimorto;Total;2016;2.111
15010 Boimorto;Total;2015;2.125
15010 Boimorto;Total;2014;2.115
15010 Boimorto;Total;2013;2.154
15010 Boimorto;Total;2012;2.200
15010 Boimorto;Total;2011;2.211
15010 Boimorto;Total;2010;2.271
15010 Boimorto;Total;2009;2.288
15010 Boimorto;Total;2008;2.348
15010 Boimorto;Total;2007;2.370
15010 Boimorto;Total;2006;2.410
15010 Boimorto;Total;2005;2.461
15010 Boimorto;Total;2004;2.486
15010 Boimorto;Total;2003;2.500
15010 Boimorto;Total;2002;2.551
15010 Boimorto;Total;2001;2.582
15010 Boimorto;Total;2000;2.598
15010 Boimorto;Total;1999;2.666
15010 Boimorto;Total;1998;2.691
15011 Boiro;Total;2021;18.955
15011 Boiro;Total;2020;18.884
15011 Boiro;Total;2019;18.838
15011 Boiro;Total;2018;18.844
15011 Boiro;Total;2017;18.885
15011 Boiro;Total;2016;18.871
15011 Boiro;Total;2015;18.950
15011 Boiro;Total;2014;19.060
15011 Boiro;Total;2013;19.144
15011 Boiro;Total;2012;19.165
15011 Boiro;Total;2011;19.106
15011 Boiro;Total;2010;19.076
15011 Boiro;Total;2009;18.883
15011 Boiro;Total;2008;18.730
15011 Boiro;Total;2007;18.547
15011 Boiro;Total;2006;18.554
15011 Boiro;Total;2005;18.469
15011 Boiro;Total;2004;18.302
15011 Boiro;Total;2003;18.241
15011 Boiro;Total;2002;18.064
15011 Boiro;Total;2001;18.074
15011 Boiro;Total;2000;18.038
15011 Boiro;Total;1999;17.915
15011 Boiro;Total;1998;17.845
15012 Boqueixón;Total;2021;4.186
15012 Boqueixón;Total;2020;4.206
15012 Boqueixón;Total;2019;4.220
15012 Boqueixón;Total;2018;4.215
15012 Boqueixón;Total;2017;4.242
15012 Boqueixón;Total;2016;4.291
15012 Boqueixón;Total;2015;4.321
15012 Boqueixón;Total;2014;4.342
15012 Boqueixón;Total;2013;4.370
15012 Boqueixón;Total;2012;4.417
15012 Boqueixón;Total;2011;4.430
15012 Boqueixón;Total;2010;4.444
15012 Boqueixón;Total;2009;4.462
15012 Boqueixón;Total;2008;4.445
15012 Boqueixón;Total;2007;4.437
15012 Boqueixón;Total;2006;4.406
15012 Boqueixón;Total;2005;4.378
15012 Boqueixón;Total;2004;4.337
15012 Boqueixón;Total;2003;4.263
15012 Boqueixón;Total;2002;4.261
15012 Boqueixón;Total;2001;4.266
15012 Boqueixón;Total;2000;4.291
15012 Boqueixón;Total;1999;4.245
15012 Boqueixón;Total;1998;4.275
15013 Brión;Total;2021;7.957
15013 Brión;Total;2020;7.923
15013 Brión;Total;2019;7.837
15013 Brión;Total;2018;7.748
15013 Brión;Total;2017;7.699
15013 Brión;Total;2016;7.590
15013 Brión;Total;2015;7.564
15013 Brión;Total;2014;7.519
15013 Brión;Total;2013;7.435
15013 Brión;Total;2012;7.369
15013 Brión;Total;2011;7.462
15013 Brión;Total;2010;7.347
15013 Brión;Total;2009;7.205
15013 Brión;Total;2008;7.104
15013 Brión;Total;2007;7.087
15013 Brión;Total;2006;6.972
15013 Brión;Total;2005;6.849
15013 Brión;Total;2004;6.684
15013 Brión;Total;2003;6.576
15013 Brión;Total;2002;6.437
15013 Brión;Total;2001;6.292
15013 Brión;Total;2000;6.239
15013 Brión;Total;1999;6.275
15013 Brión;Total;1998;6.275
15014 Cabana de Bergantiños;Total;2021;4.185
15014 Cabana de Bergantiños;Total;2020;4.216
15014 Cabana de Bergantiños;Total;2019;4.248
15014 Cabana de Bergantiños;Total;2018;4.337
15014 Cabana de Bergantiños;Total;2017;4.347
15014 Cabana de Bergantiños;Total;2016;4.446
15014 Cabana de Bergantiños;Total;2015;4.552
15014 Cabana de Bergantiños;Total;2014;4.623
15014 Cabana de Bergantiños;Total;2013;4.716
15014 Cabana de Bergantiños;Total;2012;4.759
15014 Cabana de Bergantiños;Total;2011;4.865
15014 Cabana de Bergantiños;Total;2010;4.909
15014 Cabana de Bergantiños;Total;2009;4.985
15014 Cabana de Bergantiños;Total;2008;5.045
15014 Cabana de Bergantiños;Total;2007;5.091
15014 Cabana de Bergantiños;Total;2006;5.199
15014 Cabana de Bergantiños;Total;2005;5.294
15014 Cabana de Bergantiños;Total;2004;5.354
15014 Cabana de Bergantiños;Total;2003;5.447
15014 Cabana de Bergantiños;Total;2002;5.592
15014 Cabana de Bergantiños;Total;2001;5.689
15014 Cabana de Bergantiños;Total;2000;5.733
15014 Cabana de Bergantiños;Total;1999;5.785
15014 Cabana de Bergantiños;Total;1998;5.804
15015 Cabanas;Total;2021;3.359
15015 Cabanas;Total;2020;3.274
15015 Cabanas;Total;2019;3.281
15015 Cabanas;Total;2018;3.318
15015 Cabanas;Total;2017;3.314
15015 Cabanas;Total;2016;3.259
15015 Cabanas;Total;2015;3.299
15015 Cabanas;Total;2014;3.294
15015 Cabanas;Total;2013;3.287
15015 Cabanas;Total;2012;3.299
15015 Cabanas;Total;2011;3.346
15015 Cabanas;Total;2010;3.375
15015 Cabanas;Total;2009;3.336
15015 Cabanas;Total;2008;3.287
15015 Cabanas;Total;2007;3.272
15015 Cabanas;Total;2006;3.343
15015 Cabanas;Total;2005;3.368
15015 Cabanas;Total;2004;3.368
15015 Cabanas;Total;2003;3.330
15015 Cabanas;Total;2002;3.334
15015 Cabanas;Total;2001;3.292
15015 Cabanas;Total;2000;3.262
15015 Cabanas;Total;1999;3.271
15015 Cabanas;Total;1998;3.249
15016 Camariñas;Total;2021;5.224
15016 Camariñas;Total;2020;5.209
15016 Camariñas;Total;2019;5.272
15016 Camariñas;Total;2018;5.322
15016 Camariñas;Total;2017;5.419
15016 Camariñas;Total;2016;5.486
15016 Camariñas;Total;2015;5.577
15016 Camariñas;Total;2014;5.774
15016 Camariñas;Total;2013;5.874
15016 Camariñas;Total;2012;6.082
15016 Camariñas;Total;2011;6.168
15016 Camariñas;Total;2010;6.226
15016 Camariñas;Total;2009;6.224
15016 Camariñas;Total;2008;6.207
15016 Camariñas;Total;2007;6.275
15016 Camariñas;Total;2006;6.323
15016 Camariñas;Total;2005;6.467
15016 Camariñas;Total;2004;6.502
15016 Camariñas;Total;2003;6.597
15016 Camariñas;Total;2002;6.620
15016 Camariñas;Total;2001;6.747
15016 Camariñas;Total;2000;6.813
15016 Camariñas;Total;1999;7.063
15016 Camariñas;Total;1998;7.105
15017 Cambre;Total;2021;24.616
15017 Cambre;Total;2020;24.594
15017 Cambre;Total;2019;24.648
15017 Cambre;Total;2018;24.603
15017 Cambre;Total;2017;24.348
15017 Cambre;Total;2016;24.141
15017 Cambre;Total;2015;24.076
15017 Cambre;Total;2014;24.029
15017 Cambre;Total;2013;23.999
15017 Cambre;Total;2012;23.879
15017 Cambre;Total;2011;23.649
15017 Cambre;Total;2010;23.621
15017 Cambre;Total;2009;23.231
15017 Cambre;Total;2008;22.900
15017 Cambre;Total;2007;22.513
15017 Cambre;Total;2006;22.092
15017 Cambre;Total;2005;21.523
15017 Cambre;Total;2004;20.919
15017 Cambre;Total;2003;20.297
15017 Cambre;Total;2002;19.504
15017 Cambre;Total;2001;18.691
15017 Cambre;Total;2000;17.805
15017 Cambre;Total;1999;17.074
15017 Cambre;Total;1998;16.401
15018 Capela, A;Total;2021;1.242
15018 Capela, A;Total;2020;1.221
15018 Capela, A;Total;2019;1.232
15018 Capela, A;Total;2018;1.238
15018 Capela, A;Total;2017;1.274
15018 Capela, A;Total;2016;1.318
15018 Capela, A;Total;2015;1.334
15018 Capela, A;Total;2014;1.356
15018 Capela, A;Total;2013;1.366
15018 Capela, A;Total;2012;1.376
15018 Capela, A;Total;2011;1.386
15018 Capela, A;Total;2010;1.399
15018 Capela, A;Total;2009;1.417
15018 Capela, A;Total;2008;1.439
15018 Capela, A;Total;2007;1.471
15018 Capela, A;Total;2006;1.487
15018 Capela, A;Total;2005;1.514
15018 Capela, A;Total;2004;1.526
15018 Capela, A;Total;2003;1.520
15018 Capela, A;Total;2002;1.534
15018 Capela, A;Total;2001;1.559
15018 Capela, A;Total;2000;1.595
15018 Capela, A;Total;1999;1.601
15018 Capela, A;Total;1998;1.619
15019 Carballo;Total;2021;31.414
15019 Carballo;Total;2020;31.429
15019 Carballo;Total;2019;31.349
15019 Carballo;Total;2018;31.261
15019 Carballo;Total;2017;31.195
15019 Carballo;Total;2016;31.256
15019 Carballo;Total;2015;31.283
15019 Carballo;Total;2014;31.288
15019 Carballo;Total;2013;31.366
15019 Carballo;Total;2012;31.358
15019 Carballo;Total;2011;31.303
15019 Carballo;Total;2010;31.149
15019 Carballo;Total;2009;30.990
15019 Carballo;Total;2008;30.653
15019 Carballo;Total;2007;30.091
15019 Carballo;Total;2006;29.985
15019 Carballo;Total;2005;29.689
15019 Carballo;Total;2004;29.521
15019 Carballo;Total;2003;28.949
15019 Carballo;Total;2002;28.527
15019 Carballo;Total;2001;28.497
15019 Carballo;Total;2000;28.271
15019 Carballo;Total;1999;27.980
15019 Carballo;Total;1998;27.497
15901 Cariño;Total;2021;3.763
15901 Cariño;Total;2020;3.775
15901 Cariño;Total;2019;3.838
15901 Cariño;Total;2018;3.945
15901 Cariño;Total;2017;4.004
15901 Cariño;Total;2016;4.072
15901 Cariño;Total;2015;4.167
15901 Cariño;Total;2014;4.241
15901 Cariño;Total;2013;4.337
15901 Cariño;Total;2012;4.373
15901 Cariño;Total;2011;4.474
15901 Cariño;Total;2010;4.530
15901 Cariño;Total;2009;4.590
15901 Cariño;Total;2008;4.617
15901 Cariño;Total;2007;4.680
15901 Cariño;Total;2006;4.700
15901 Cariño;Total;2005;4.788
15901 Cariño;Total;2004;4.798
15901 Cariño;Total;2003;4.812
